id,repository_name,name,ingredient,version,duration,listed,tag_context,tag_name
10,brain-game,Brain Game,false,3,2,true,curriculum,phys-comp-0
10,brain-game,Brain Game,false,3,2,true,curriculum,community-0
10,brain-game,Brain Game,false,3,2,true,curriculum,manufacture-0
10,brain-game,Brain Game,false,3,2,true,curriculum,1
10,brain-game,Brain Game,false,3,2,true,curriculum,design-0
10,brain-game,Brain Game,false,3,2,true,curriculum,programming-1
10,brain-game,Brain Game,false,3,2,true,interests,games
10,brain-game,Brain Game,false,3,2,true,site_areas,projects
10,brain-game,Brain Game,false,3,2,true,software,scratch
10,brain-game,Brain Game,false,3,2,true,technologies,scratch
12,minecraft-whack-a-block,Minecraft Pi Whac A Block,false,,2,,site_areas,projects
13,rpi-gui-idle-opening,Opening IDLE3,true,,1,false,technologies,python
18,rpi-sensehat-attach,Attaching a Sense HAT,true,,1,false,technologies,sense-hat
21,rock-band,Rock Band,false,4,2,true,curriculum,design-0
21,rock-band,Rock Band,false,4,2,true,curriculum,phys-comp-0
21,rock-band,Rock Band,false,4,2,true,curriculum,manufacture-0
21,rock-band,Rock Band,false,4,2,true,curriculum,community-0
21,rock-band,Rock Band,false,4,2,true,curriculum,programming-1
21,rock-band,Rock Band,false,4,2,true,curriculum,1
21,rock-band,Rock Band,false,4,2,true,site_areas,projects
21,rock-band,Rock Band,false,4,2,true,software,scratch
21,rock-band,Rock Band,false,4,2,true,technologies,scratch
22,ghostbusters,Ghostbusters,false,4.2.1,2,true,curriculum,manufacture-0
22,ghostbusters,Ghostbusters,false,4.2.1,2,true,curriculum,community-0
22,ghostbusters,Ghostbusters,false,4.2.1,2,true,curriculum,phys-comp-0
22,ghostbusters,Ghostbusters,false,4.2.1,2,true,curriculum,programming-1
22,ghostbusters,Ghostbusters,false,4.2.1,2,true,curriculum,1
22,ghostbusters,Ghostbusters,false,4.2.1,2,true,curriculum,design-0
22,ghostbusters,Ghostbusters,false,4.2.1,2,true,interests,games
22,ghostbusters,Ghostbusters,false,4.2.1,2,true,site_areas,projects
22,ghostbusters,Ghostbusters,false,4.2.1,2,true,software,scratch
22,ghostbusters,Ghostbusters,false,4.2.1,2,true,technologies,scratch
24,generic-scratch-new-project,New Scratch Project,true,,1,false,technologies,scratch
27,rpi-python-minecraft-steves-position,Finding your position in Minecraft,true,,1,false,,
28,rpi-python-minecraft-setting-blocks,Setting Multiple Blocks in Minecraft,true,,1,,,
29,generic-scratch-sprite-from-library,Add Sprite from Library,true,,1,false,technologies,scratch
30,generic-scratch-add-variable,Add a variable in Scratch,true,,1,false,,
32,generic-scratch-saving,Saving Scratch Projects,true,,1,false,technologies,scratch
33,generic-scratch-backdrop-from-library,Add Backdrop from Library,true,,1,false,technologies,scratch
34,generic-scratch-sound-from-library,Adding Sound from the Scratch Library,true,,1,false,technologies,scratch
35,generic-scratch-duplicate-costumes,Creating Duplicate Costumes,true,,1,false,technologies,scratch
36,generic-python-random,Randomness in Python,true,,1,false,,
37,generic-python-2d-lists,Two dimensional lists in Python,true,,1,false,,
38,generic-python-enumerate,Python's enumerate function,true,,1,,,
40,rpi-python-minecraft-setting-block,Setting a block in Minecraft,true,,1,,,
42,generic-scratch-timer,Creating a Timer,true,,1,false,technologies,scratch
46,whoopi-cushion,Whoopi Cushion,false,4,60,true,curriculum,manufacture-1
46,whoopi-cushion,Whoopi Cushion,false,4,60,true,curriculum,community-0
46,whoopi-cushion,Whoopi Cushion,false,4,60,true,curriculum,programming-1
46,whoopi-cushion,Whoopi Cushion,false,4,60,true,curriculum,design-1
46,whoopi-cushion,Whoopi Cushion,false,4,60,true,curriculum,phys-comp-1
46,whoopi-cushion,Whoopi Cushion,false,4,60,true,curriculum,1
46,whoopi-cushion,Whoopi Cushion,false,4,60,true,hardware,electronic-components
46,whoopi-cushion,Whoopi Cushion,false,4,60,true,hardware,raspberry-pi
46,whoopi-cushion,Whoopi Cushion,false,4,60,true,interests,humour
46,whoopi-cushion,Whoopi Cushion,false,4,60,true,site_areas,projects
46,whoopi-cushion,Whoopi Cushion,false,4,60,true,software,python
46,whoopi-cushion,Whoopi Cushion,false,4,60,true,technologies,python
46,whoopi-cushion,Whoopi Cushion,false,4,60,true,technologies,electronic-components
46,whoopi-cushion,Whoopi Cushion,false,4,60,true,technologies,raspberry-pi
47,physical-computing,Physical Computing,false,3,2,true,curriculum,design-0
47,physical-computing,Physical Computing,false,3,2,true,curriculum,manufacture-0
47,physical-computing,Physical Computing,false,3,2,true,curriculum,phys-comp-1
47,physical-computing,Physical Computing,false,3,2,true,curriculum,programming-1
47,physical-computing,Physical Computing,false,3,2,true,curriculum,1
47,physical-computing,Physical Computing,false,3,2,true,curriculum,community-0
47,physical-computing,Physical Computing,false,3,2,true,hardware,electronic-components
47,physical-computing,Physical Computing,false,3,2,true,site_areas,projects
47,physical-computing,Physical Computing,false,3,2,true,software,python
47,physical-computing,Physical Computing,false,3,2,true,technologies,electronic-components
47,physical-computing,Physical Computing,false,3,2,true,technologies,python
49,gpio-music-box,GPIO music box,false,4,2,true,curriculum,design-0
49,gpio-music-box,GPIO music box,false,4,2,true,curriculum,3
49,gpio-music-box,GPIO music box,false,4,2,true,curriculum,programming-3
49,gpio-music-box,GPIO music box,false,4,2,true,curriculum,manufacture-0
49,gpio-music-box,GPIO music box,false,4,2,true,curriculum,community-0
49,gpio-music-box,GPIO music box,false,4,2,true,curriculum,phys-comp-1
49,gpio-music-box,GPIO music box,false,4,2,true,hardware,electronic-components
49,gpio-music-box,GPIO music box,false,4,2,true,interests,music
49,gpio-music-box,GPIO music box,false,4,2,true,site_areas,projects
49,gpio-music-box,GPIO music box,false,4,2,true,software,python
49,gpio-music-box,GPIO music box,false,4,2,true,technologies,python
49,gpio-music-box,GPIO music box,false,4,2,true,technologies,electronic-components
50,rpi-gui-creating-directories,Creating Directories On A Raspberry Pi,true,,1,false,,
51,rpi-gui-copying-files,Copying files on a Raspberry Pi,true,,1,false,,
52,generic-python-playing-sound-files,Playing Sound Files With Python,true,,1,false,interests,music
52,generic-python-playing-sound-files,Playing Sound Files With Python,true,,1,false,technologies,python
54,nix-bash-batch-operations-on-files,Batch operations on files using bash,true,,1,false,,
55,rpi-gpio-pins,GPIO pins,true,,1,false,,
56,rpi-gpio-wiring-a-button,Wiring a buttons to GPIO pins,true,,1,false,,
58,rpi-python-function-calls-with-buttons,Triggering function calls with buttons,true,,1,false,technologies,python
59,generic-python-basic-dictionaries,Basic Python Dictionaries,true,,1,false,technologies,python
60,generic-python-functions-in-dictionaries,Functions in Python Dictionaries,true,,1,false,technologies,python
61,nix-bash-convert-media-files,Converting media files on a Raspberry Pi,true,,1,false,,
62,rpi-picamera-connect-camera,Connecting the camera module to a Raspberry Pi,true,,1,false,,
63,rpi-picamera-take-photo,Taking a picture with a Raspberry Pi and PiCamera,true,,1,false,,
64,generic-api-registering-twitter,Registering an App with the Twitter API,true,,1,true,,
65,generic-python-sending-a-tweet,Send a Tweet with Python,true,,1,,technologies,python
66,generic-python-timestamps,Producing timestamps in Python,true,,1,false,technologies,python
67,nix-bash-crontab,Automating Tasks With Crontab,true,,1,false,,
70,nix-bash-using-nano,Using Nano,true,,1,,,
71,tweeting-babbage,Tweeting Babbage,false,4,3,true,curriculum,3
71,tweeting-babbage,Tweeting Babbage,false,4,3,true,curriculum,manufacture-1
71,tweeting-babbage,Tweeting Babbage,false,4,3,true,curriculum,community-1
71,tweeting-babbage,Tweeting Babbage,false,4,3,true,curriculum,programming-3
71,tweeting-babbage,Tweeting Babbage,false,4,3,true,curriculum,design-0
71,tweeting-babbage,Tweeting Babbage,false,4,3,true,curriculum,phys-comp-2
71,tweeting-babbage,Tweeting Babbage,false,4,3,true,hardware,pi-camera
71,tweeting-babbage,Tweeting Babbage,false,4,3,true,interests,photography
71,tweeting-babbage,Tweeting Babbage,false,4,3,true,site_areas,projects
71,tweeting-babbage,Tweeting Babbage,false,4,3,true,software,python
71,tweeting-babbage,Tweeting Babbage,false,4,3,true,technologies,pi-camera
71,tweeting-babbage,Tweeting Babbage,false,4,3,true,technologies,python
72,generic-python-simple-functions,Creating and Calling Simple Functions in Python,true,,1,false,technologies,python
73,generic-python-random-choice,Choosing random items from a list in Python,true,,1,false,technologies,python
75,boat-race,Boat Race,false,4,2,true,curriculum,community-0
75,boat-race,Boat Race,false,4,2,true,curriculum,manufacture-0
75,boat-race,Boat Race,false,4,2,true,curriculum,design-0
75,boat-race,Boat Race,false,4,2,true,curriculum,programming-1
75,boat-race,Boat Race,false,4,2,true,curriculum,1
75,boat-race,Boat Race,false,4,2,true,curriculum,phys-comp-0
75,boat-race,Boat Race,false,4,2,true,interests,games
75,boat-race,Boat Race,false,4,2,true,site_areas,projects
75,boat-race,Boat Race,false,4,2,true,software,scratch
75,boat-race,Boat Race,false,4,2,true,technologies,scratch
76,rpi-python-ldr,Sensing light with the Raspberry Pi and Python,true,,1,false,,
77,generic-theory-analogue-digital,The difference between analogue and digital,true,,1,false,,
78,chatbot,ChatBot,false,4.1.0,2,true,curriculum,design-0
78,chatbot,ChatBot,false,4.1.0,2,true,curriculum,community-0
78,chatbot,ChatBot,false,4.1.0,2,true,curriculum,manufacture-0
78,chatbot,ChatBot,false,4.1.0,2,true,curriculum,1
78,chatbot,ChatBot,false,4.1.0,2,true,curriculum,phys-comp-0
78,chatbot,ChatBot,false,4.1.0,2,true,curriculum,programming-1
78,chatbot,ChatBot,false,4.1.0,2,true,site_areas,projects
78,chatbot,ChatBot,false,4.1.0,2,true,software,scratch
78,chatbot,ChatBot,false,4.1.0,2,true,technologies,scratch
79,generic-theory-rc-timing-circuit,RC Timing Circuits,true,,1,false,,
81,parent-detector,Parent Detector,false,4,2,true,curriculum,manufacture-0
81,parent-detector,Parent Detector,false,4,2,true,curriculum,design-0
81,parent-detector,Parent Detector,false,4,2,true,curriculum,phys-comp-2
81,parent-detector,Parent Detector,false,4,2,true,curriculum,programming-2
81,parent-detector,Parent Detector,false,4,2,true,curriculum,community-0
81,parent-detector,Parent Detector,false,4,2,true,curriculum,2
81,parent-detector,Parent Detector,false,4,2,true,hardware,raspberry-pi
81,parent-detector,Parent Detector,false,4,2,true,hardware,electronic-components
81,parent-detector,Parent Detector,false,4,2,true,hardware,pi-camera
81,parent-detector,Parent Detector,false,4,2,true,interests,humour
81,parent-detector,Parent Detector,false,4,2,true,site_areas,projects
81,parent-detector,Parent Detector,false,4,2,true,software,python
81,parent-detector,Parent Detector,false,4,2,true,technologies,python
81,parent-detector,Parent Detector,false,4,2,true,technologies,electronic-components
